name,description,price,duration,create_date,last_update_date,count,successor_id,state_id
The Carlyle Group L.P.,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,22808.19,957,2021-04-07T08:16:49Z,2021-04-12 13:46:01 UTC,269,,1
"Remark Holdings, Inc.","Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",19152.37,23,2021-12-09T13:29:46Z,2021-12-28 20:39:33 UTC,50,,1
U.S. Bancorp,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",27930.38,444,2021-07-12T23:54:59Z,2021-07-17 06:47:41 UTC,156,,1
Energous Corporation,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",12182.31,383,2021-08-28T22:29:44Z,2021-12-02 00:56:39 UTC,144,,1
Pilgrim's Pride Corporation,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,294.51,446,2021-12-11T12:41:09Z,2022-01-19 10:51:06 UTC,172,,2
"Entergy Mississippi, Inc.","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",1664.08,80,2021-09-25T12:44:08Z,2021-12-29 04:43:14 UTC,62,,1
Orbotech Ltd.,Nam tristique tortor eu pede.,12089.74,238,2021-03-30T11:13:14Z,2021-04-26 13:10:52 UTC,228,,1
Brookfield Infrastructure Partners LP,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,11700.23,490,2022-02-06T12:00:34Z,2022-03-04 11:42:44 UTC,262,,2
Royal Bank Scotland plc (The),"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",25583.88,531,2021-10-03T02:14:47Z,2021-10-12 22:52:25 UTC,152,,1
"UMH Properties, Inc.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",9631.95,940,2021-11-11T14:33:33Z,2021-12-28 09:38:19 UTC,19,,2
Stellar Acquisition III Inc.,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,467.22,832,2021-04-18T09:24:23Z,2021-06-17 16:55:13 UTC,90,,1
Medley Management Inc.,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,25790.96,526,2022-01-22T14:01:37Z,2022-02-09 23:21:39 UTC,239,,1
DXC Technology Company,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",10948.3,697,2021-10-23T12:54:15Z,2021-11-02 07:18:15 UTC,195,,2
The Descartes Systems Group Inc.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",25713.1,934,2021-06-18T12:37:07Z,2021-08-06 07:53:58 UTC,100,,1
New Senior Investment Group Inc.,Donec semper sapien a libero.,21118.08,714,2021-07-14T16:29:48Z,2021-09-28 22:10:06 UTC,86,,2
Southwest Airlines Company,Maecenas tincidunt lacus at velit.,14727.32,824,2021-09-17T16:47:37Z,2021-12-10 14:32:35 UTC,123,,1
