gift_certificate_id,tag_id
1,948
2,447
3,384
4,522
5,349
6,405
7,232
8,773
9,754
10,672
11,378
12,887
13,249
14,231
15,372
16,448
17,64
18,318
19,484
20,511
21,146
22,101
23,118
24,740
25,653
26,156
27,699
28,18
29,797
30,504
31,718
32,896
33,791
34,696
35,834
36,642
37,398
38,970
39,9
40,154
41,329
42,958
43,203
44,288
45,230
46,307
47,917
48,664
49,994
50,147
51,504
52,541
53,638
54,295
55,470
56,612
57,3
58,841
59,800
60,503
61,453
62,378
63,296
64,478
65,844
66,404
67,220
68,852
69,846
70,516
71,674
72,569
73,43
74,531
75,948
76,603
77,238
78,796
79,83
80,770
81,167
82,751
83,516
84,586
85,791
86,664
87,809
88,975
89,466
90,336
91,496
92,875
93,485
94,376
95,505
96,165
97,431
98,634
99,883
100,803
101,178
102,432
103,583
104,104
105,468
106,61
107,442
108,199
109,214
110,612
111,567
112,839
113,689
114,646
115,258
116,298
117,6
118,849
119,755
120,277
121,567
122,317
123,793
124,684
125,504
126,592
127,228
128,479
129,242
130,914
131,540
132,279
133,227
134,209
135,234
136,371
137,44
138,309
139,99
140,139
141,833
142,230
143,160
144,887
145,903
146,623
147,188
148,426
149,298
150,613
151,572
152,762
153,690
154,822
155,452
156,156
157,11
158,567
159,216
160,865
161,59
162,494
163,695
164,845
165,745
166,184
167,924
168,720
169,742
170,49
171,247
172,274
173,732
174,815
175,98
176,671
177,477
178,759
179,649
180,339
181,402
182,120
183,301
184,313
185,913
186,314
187,238
188,323
189,405
190,43
191,478
192,643
193,936
194,949
195,47
196,657
197,248
198,615
199,234
200,584
201,94
202,772
203,74
204,11
205,210
206,243
207,319
208,315
209,982
210,236
211,324
212,996
213,301
214,399
215,463
216,515
217,887
218,245
219,300
220,414
221,254
222,253
223,244
224,478
225,800
226,52
227,962
228,483
229,41
230,839
231,119
232,291
233,566
234,225
235,112
236,693
237,112
238,393
239,28
240,547
241,710
242,472
243,638
244,903
245,143
246,750
247,549
248,717
249,391
250,310
251,727
252,933
253,346
254,489
255,491
256,920
257,984
258,451
259,696
260,529
261,243
262,802
263,495
264,498
265,486
266,76
267,590
268,812
269,947
270,373
271,770
272,200
273,929
274,762
275,751
276,644
277,876
278,1
279,930
280,338
281,666
282,782
283,167
284,288
285,303
286,761
287,68
288,95
289,218
290,513
291,649
292,28
293,7
294,12
295,252
296,321
297,111
298,208
299,156
300,1000
301,518
302,253
303,612
304,972
305,819
306,614
307,20
308,756
309,746
310,183
311,656
312,470
313,526
314,168
315,721
316,434
317,346
318,32
319,208
320,645
321,432
322,99
323,251
324,573
325,442
326,748
327,948
328,946
329,621
330,863
331,131
332,467
333,533
334,433
335,597
336,137
337,916
338,820
339,788
340,725
341,554
342,866
343,804
344,625
345,930
346,215
347,424
348,496
349,143
350,194
351,885
352,637
353,14
354,432
355,978
356,408
357,815
358,667
359,61
360,749
361,522
362,32
363,967
364,202
365,230
366,934
367,5
368,477
369,839
370,389
371,769
372,560
373,736
374,662
375,695
376,650
377,142
378,971
379,481
380,938
381,351
382,474
